;Grid_Code;buildings_total_units;n_occupied_by_owner;n_ownership_with_current_household;n_owned_without_current_household;n_rented_for_residential_purposes;n_rented_with_current_household;n_rented_without_current_household;n_vacation_and_leisure;n_vacant;n_diplomatic_army;n_commercial_use;we_private_individuals;we_private_companies_legal_entities;we_public_companies;we_housing_cooperative;we_does_not_apply_since_no_condominium;w_less_30;w_30_60;w_60_100;w_100_and_more;w_gewerblich;r_1;r_2;r_3;r_4;r_5;r_6;r_7_and_more;r_gewerblich;gs_buildings_with_living_space;gs_residential_buildings;gs_residential_buildings_no_dormitories;gs_dormitory;gs_other_building_with_living_space;j_before_1919;j_1919_1948;j_1949_1978;j_1979_1995;j_1996_2008;j_2009_and_later;e_community_of_apartment_owners;e_private_persons;e_housing_cooperative;e_municipality_housing_company;e_private_housing_company;e_other_private_company;e_federal_or_state_government;e_nonprofit_organization;gt_detached_house;gt_semidetached_house;gt_terraced_house;gt_other_type_of_building;gg_detached_single_family_house;gg_onefamily_semidetached;gg_onefamily_terraced_house;gg_detached_twofamily;gg_twofamily_semidetached_house;gg_twofamily_terraced_house;gg_apartment_3_6;gg_apartment_7_12;gg_apartment_13;gg_other_building_type;h_district;h_floor;h_block;h_central;h_stoves_night;h_no_heating;z_1_apart;z_2_apart;z_3_6_apart;z_7_12_apart;z_13_and_more_apart
16295;100mN33340E42394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16296;100mN33340E42395;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0
16297;100mN33340E42396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16298;100mN33340E42397;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16299;100mN33340E42398;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16300;100mN33340E42399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16301;100mN33340E42400;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;0;0;0
16302;100mN33340E42401;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
16303;100mN33340E42402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16304;100mN33340E42403;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
