;Grid_Code;population_total_units;al_10_under;al_10_19;al_20_29;al_30_39;al_40_49;al_50_59;al_60_69;al_70_79;al_80_over;alk_18_under;alk_18_29;alk_30_49;alk_50_64;alk_65_over;fam_single;fam_married;fam_widowed;fam_divorced;fam_civil_partner;fam_civil_partner_deceased;fam_civil_partner_dissolved;fam_unknown;geb_germany;geb_eu27;geb_other_europe;geb_other_world;geb_other;ght_male;ght_female;re_roman_catholic;re_protestant;re_other;sg_germany;sg_eu27;sg_other_europe;sg_other_world;sg_other;sh_germany;sh_bosnia;sh_greece;sh_italy;sh_kazakhstan;sh_croatia;sh_netherlands;sh_austria;sh_poland;sh_romania;sh_russia;sh_turkey;sh_ukraine;sh_other;sk_germany;sk_abroad;sz_one;sz_mult_german_foreign;sz_mult_foreign_only;sz_unknown
10350;100mN33310E42412;97;3;0;29;16;14;13;10;6;6;3;30;30;18;17;70;8;5;14;0;0;0;0;74;9;7;7;0;56;41;12;38;47;83;7;6;0;0;83;3;0;0;0;0;0;0;3;0;3;3;0;3;83;14;90;7;0;0
10351;100mN33310E42413;29;3;3;16;5;3;0;0;0;0;4;17;8;0;0;25;3;0;3;0;0;0;0;23;0;0;5;0;12;17;6;8;15;19;0;0;10;0;19;0;0;0;0;0;0;0;0;0;0;0;0;10;19;10;29;0;0;0
10352;100mN33310E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10353;100mN33310E42415;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0
10354;100mN33310E42416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10519;100mN33311E42406;205;3;0;12;12;9;11;8;39;111;3;12;21;13;156;54;62;79;10;0;0;0;0;174;13;0;6;12;74;131;15;103;87;201;3;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;3;201;4;197;8;0;0
10520;100mN33311E42407;63;3;3;15;13;4;6;6;7;8;3;16;17;8;19;40;17;3;3;0;0;0;0;50;3;0;8;3;30;33;4;26;33;56;3;0;4;0;56;0;0;0;0;0;0;0;0;0;0;0;0;7;56;7;62;0;0;0
10521;100mN33311E42408;203;4;8;48;49;36;18;14;19;7;11;49;85;24;34;127;45;16;11;4;0;0;0;175;14;5;8;0;99;104;22;77;104;188;6;3;6;0;188;0;0;0;0;0;0;0;3;0;0;3;0;7;188;15;197;6;0;0
10522;100mN33311E42409;154;4;4;61;30;20;10;14;7;4;6;63;50;18;17;112;18;8;16;0;0;0;0;115;15;8;16;0;77;77;23;41;90;129;13;5;7;0;129;0;0;3;0;0;0;0;0;0;0;3;0;17;129;25;140;14;0;0
10523;100mN33311E42410;70;0;3;26;12;6;7;7;4;4;4;26;18;10;12;43;17;3;8;0;0;0;0;49;9;3;8;0;36;34;14;20;36;52;9;3;7;0;52;0;0;0;0;0;0;0;0;0;0;3;0;15;52;18;67;3;0;0
10524;100mN33311E42411;56;0;0;24;13;5;6;6;0;0;0;24;18;9;4;40;7;3;7;0;0;0;0;41;4;3;9;0;37;19;6;14;36;40;5;3;9;0;40;0;0;0;0;0;0;0;0;0;0;0;0;14;40;16;56;0;0;0
10525;100mN33311E42412;31;3;0;9;7;6;0;3;3;0;3;9;13;3;3;21;4;0;6;0;0;0;0;17;3;3;7;0;21;10;3;7;22;18;3;3;7;0;18;0;0;0;0;0;0;0;0;0;0;3;0;9;18;13;29;3;0;0
10526;100mN33311E42413;13;3;0;4;0;0;3;0;0;0;3;4;3;3;0;5;7;0;0;0;0;0;0;12;0;0;0;0;6;7;3;5;6;12;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;13;0;0;0
10527;100mN33311E42414;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
